execution_time,memory_usage,fps,success,pixel,distance,consumption,cpu_utilization,device_type,GPU,Config
56.0,47.7,30,True,102240,3,8,100.0,Nano 2GB,False,None
52.0,45.5,12,True,102240,29,7,75.8,Nano 2GB,False,None
49.0,43.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
56.0,48.3,12,True,921600,33,7,78.8,Nano 2GB,False,None
51.0,47.7,30,True,102240,40,8,100.0,Nano 2GB,False,None
48.0,44.2,20,False,25440,595,8,100.0,Nano 2GB,False,None
49.0,44.2,16,False,25440,577,7,96.0,Nano 2GB,False,None
57.0,48.6,20,True,409920,10,7,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,24,8,100.0,Nano 2GB,False,None
50.0,43.9,26,False,25440,610,8,100.0,Nano 2GB,False,None
59.0,47.9,30,True,230400,5,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
58.0,48.3,16,True,230400,11,7,85.7,Nano 2GB,False,None
58.0,49.0,26,True,921600,33,7,100.0,Nano 2GB,False,None
48.0,44.2,16,False,25440,577,7,96.0,Nano 2GB,False,None
49.0,44.4,12,False,25440,10,7,73.5,Nano 2GB,False,None
57.0,47.8,20,True,230400,11,8,100.0,Nano 2GB,False,None
63.0,48.1,30,True,409920,13,8,100.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,6,8,100.0,Nano 2GB,False,None
56.0,47.7,26,True,102240,8,8,100.0,Nano 2GB,False,None
59.0,47.9,26,True,230400,19,8,100.0,Nano 2GB,False,None
74.0,45.7,30,True,57600,7,8,100.0,Nano 2GB,False,None
48.0,43.9,16,False,25440,105,7,96.0,Nano 2GB,False,None
57.0,48.6,20,True,409920,11,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,264,7,100.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,9,8,100.0,Nano 2GB,False,None
48.0,43.9,16,False,25440,577,7,92.3,Nano 2GB,False,None
53.0,44.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
57.0,48.6,26,True,409920,5,7,100.0,Nano 2GB,False,None
56.0,45.6,20,True,102240,17,8,100.0,Nano 2GB,False,None
60.0,47.7,30,True,102240,6,8,100.0,Nano 2GB,False,None
51.0,44.8,30,True,57600,13,8,100.0,Nano 2GB,False,None
53.0,48.5,12,True,409920,21,7,85.3,Nano 2GB,False,None
163.0,41.9,26,False,25440,74,6,100.0,Nano 2GB,False,None
58.0,47.7,26,True,102240,3,8,100.0,Nano 2GB,False,None
59.0,45.5,16,True,102240,12,7,96.2,Nano 2GB,False,None
55.0,45.6,20,True,102240,12,8,100.0,Nano 2GB,False,None
51.0,44.8,30,True,57600,8,8,100.0,Nano 2GB,False,None
59.0,48.4,30,True,230400,14,8,100.0,Nano 2GB,False,None
59.0,48.1,30,True,409920,9,8,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,38,8,100.0,Nano 2GB,False,None
48.0,43.9,20,False,25440,595,7,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,24,8,100.0,Nano 2GB,False,None
68.0,48.9,20,True,921600,16,9,100.0,Nano 2GB,False,None
48.0,44.0,30,False,25440,41,8,100.0,Nano 2GB,False,None
49.0,44.3,26,False,25440,29,8,100.0,Nano 2GB,False,None
48.0,43.9,20,False,25440,593,7,95.5,Nano 2GB,False,None
57.0,47.7,26,True,102240,7,8,100.0,Nano 2GB,False,None
57.0,47.9,26,True,230400,8,8,100.0,Nano 2GB,False,None
81.0,49.2,16,True,230400,20,7,100.0,Nano 2GB,False,None
59.0,48.6,20,True,409920,14,7,100.0,Nano 2GB,False,None
60.0,48.1,30,True,409920,8,8,100.0,Nano 2GB,False,None
48.0,43.9,16,False,25440,105,7,92.3,Nano 2GB,False,None
59.0,48.4,30,True,230400,9,7,100.0,Nano 2GB,False,None
48.0,43.9,20,False,25440,595,7,94.7,Nano 2GB,False,None
61.0,48.6,30,True,921600,4,8,100.0,Nano 2GB,False,None
57.0,48.5,30,True,921600,9,8,100.0,Nano 2GB,False,None
53.0,47.8,20,True,230400,22,8,100.0,Nano 2GB,False,None
59.0,48.6,20,True,409920,7,7,100.0,Nano 2GB,False,None
58.0,48.6,26,True,921600,6,8,100.0,Nano 2GB,False,None
57.0,47.9,20,True,230400,17,8,100.0,Nano 2GB,False,None
59.0,48.5,16,True,409920,6,8,100.0,Nano 2GB,False,None
59.0,49.0,26,True,921600,2,7,100.0,Nano 2GB,False,None
75.0,47.1,26,True,102240,13,9,100.0,Nano 2GB,False,None
59.0,45.6,20,True,102240,17,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,7,100.0,Nano 2GB,False,None
58.0,48.5,30,True,921600,6,8,100.0,Nano 2GB,False,None
51.0,47.8,26,True,230400,9,8,100.0,Nano 2GB,False,None
58.0,45.6,20,True,102240,9,8,100.0,Nano 2GB,False,None
52.0,45.5,12,True,102240,16,7,87.5,Nano 2GB,False,None
49.0,44.2,16,False,25440,577,7,92.3,Nano 2GB,False,None
50.0,43.9,30,True,25440,59,8,100.0,Nano 2GB,False,None
49.0,44.3,20,False,25440,595,8,100.0,Nano 2GB,False,None
135.0,46.1,16,True,409920,437,7,96.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,2,8,100.0,Nano 2GB,False,None
64.0,48.9,20,True,921600,2,7,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,610,8,100.0,Nano 2GB,False,None
57.0,48.9,20,True,921600,18,7,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
51.0,45.5,12,True,102240,6,7,78.8,Nano 2GB,False,None
60.0,48.4,16,True,921600,15,8,100.0,Nano 2GB,False,None
60.0,48.1,26,True,409920,7,8,100.0,Nano 2GB,False,None
59.0,45.5,16,True,102240,21,7,100.0,Nano 2GB,False,None
52.0,45.5,12,True,102240,17,7,72.7,Nano 2GB,False,None
48.0,43.8,16,False,25440,577,7,92.3,Nano 2GB,False,None
59.0,49.0,26,True,921600,9,7,93.1,Nano 2GB,False,None
57.0,47.7,26,True,102240,11,8,100.0,Nano 2GB,False,None
108.0,48.1,30,False,409920,8,8,100.0,Nano 2GB,False,None
48.0,44.2,16,False,25440,577,7,92.3,Nano 2GB,False,None
58.0,48.3,16,True,230400,13,7,100.0,Nano 2GB,False,None
56.0,47.7,26,True,102240,26,8,100.0,Nano 2GB,False,None
59.0,47.7,30,True,102240,9,8,100.0,Nano 2GB,False,None
48.0,43.9,12,False,25440,27,7,73.5,Nano 2GB,False,None
60.0,48.1,26,True,409920,9,8,100.0,Nano 2GB,False,None
96.0,43.8,12,False,25440,27,7,100.0,Nano 2GB,False,None
50.0,44.4,26,False,25440,29,8,100.0,Nano 2GB,False,None
57.0,48.4,30,True,230400,12,7,96.4,Nano 2GB,False,None
59.0,48.5,16,True,409920,20,8,90.6,Nano 2GB,False,None
58.0,48.4,16,True,921600,5,8,100.0,Nano 2GB,False,None
