execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
11,2023-06-02 11:52:02.410006,53.4,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:02.494183,56.4,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:52:02.577610,54.9,86.7,25440,12,False,349.0,22,
12,2023-06-02 11:52:02.663188,54.1,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:52:02.745132,56.0,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:52:02.828981,54.9,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:52:02.912832,54.1,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:52:02.996436,54.9,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:03.080883,52.6,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:03.164044,55.2,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:52:03.248157,55.9,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:52:03.331762,54.5,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:03.416637,58.2,86.7,25440,12,True,225.0,22,
11,2023-06-02 11:52:03.500135,56.2,86.7,25440,12,True,10.0,22,
12,2023-06-02 11:52:03.586033,54.8,86.7,25440,12,True,43.0,22,
11,2023-06-02 11:52:03.668051,55.6,86.7,25440,12,False,43.0,22,
10,2023-06-02 11:52:03.751892,54.8,86.7,25440,12,False,43.0,22,
10,2023-06-02 11:52:03.835663,53.8,86.7,25440,12,False,43.0,22,
16,2023-06-02 11:52:03.925575,55.9,86.7,25440,12,False,43.0,22,
10,2023-06-02 11:52:04.003515,56.9,86.7,25440,12,False,43.0,22,
10,2023-06-02 11:52:04.086924,54.8,86.7,25440,12,False,43.0,22,
12,2023-06-02 11:52:04.173369,54.6,86.7,25440,12,False,43.0,22,
11,2023-06-02 11:52:04.255769,53.8,86.7,25440,12,True,437.0,22,
10,2023-06-02 11:52:04.339819,56.1,86.7,25440,12,False,437.0,22,
